uid,domainID,siteID,namedLocation,date,eventID,sampleDepth,waterTemp,specificConductance,dissolvedOxygen,dissolvedOxygenSaturation,dataQF,publicationDate,release
05952d15-f471-4ae0-bee4-0d67b071e506,D03,BARC,BARC.AOS.buoy.c0,2015-05-20T16:00Z,BARC.c0.20150520,3.5,28.9,57.6,,71.4,,20211221T195347Z,RELEASE-2022
8bd6d46e-0825-46cd-9d93-7972d63c1c93,D03,BARC,BARC.AOS.buoy.c0,2015-05-20T16:00Z,BARC.c0.20150520,2,29,57.3,,72.5,,20211221T195347Z,RELEASE-2022
41a4eb44-3d95-4cd3-aa18-8a21c6eb3577,D03,BARC,BARC.AOS.buoy.c0,2015-05-20T16:00Z,BARC.c0.20150520,2.5,28.9,57.4,,73.7,,20211221T195347Z,RELEASE-2022
7948c571-c776-4750-81cf-01d0a45741d2,D03,BARC,BARC.AOS.buoy.c0,2015-05-20T16:00Z,BARC.c0.20150520,1,29.1,57.2,,73,,20211221T195347Z,RELEASE-2022
111fdc8e-0b58-4cd5-9daf-06b1f618c2ed,D03,BARC,BARC.AOS.buoy.c0,2015-05-20T16:00Z,BARC.c0.20150520,1.5,29,57.4,,72,,20211221T195347Z,RELEASE-2022
0566d908-40e0-41d4-b580-0487fa044c6c,D03,BARC,BARC.AOS.buoy.c0,2015-05-20T16:00Z,BARC.c0.20150520,0.5,29.2,57.1,,75,,20211221T195347Z,RELEASE-2022
8a73ff60-1e67-4292-b6c1-be0943e87135,D03,BARC,BARC.AOS.buoy.c0,2015-06-24T16:00Z,BARC.c0.20150624,4.5,31.2,58.3,4.9,65,,20211222T041812Z,RELEASE-2022
930d62b4-f8b5-4cc9-8568-b630fd4da80a,D03,BARC,BARC.AOS.buoy.c0,2015-06-24T16:00Z,BARC.c0.20150624,1.5,31.3,58,5.3,73,,20211222T041812Z,RELEASE-2022
47f77033-6246-48af-9f8f-0c7fbd8d6d4f,D03,BARC,BARC.AOS.buoy.c0,2015-06-24T16:00Z,BARC.c0.20150624,3.5,31.2,58.5,5.5,74,,20211222T041812Z,RELEASE-2022
7a92415e-92d4-4ab9-84f3-a88f4d4a1da9,D03,BARC,BARC.AOS.buoy.c0,2015-06-24T16:00Z,BARC.c0.20150624,1,31.3,57.7,5.3,72,,20211222T041812Z,RELEASE-2022
20093ad7-ed39-463c-b528-19bbe796f46e,D03,BARC,BARC.AOS.buoy.c0,2015-06-24T16:00Z,BARC.c0.20150624,0.5,31.2,57.8,5.4,72,,20211222T041812Z,RELEASE-2022
4afc1e51-30ad-4094-a0d9-ef829c1d758d,D03,BARC,BARC.AOS.buoy.c0,2015-06-24T16:00Z,BARC.c0.20150624,2.5,31.3,58.2,5.4,73,,20211222T041812Z,RELEASE-2022
9842b359-fc71-45aa-8993-598006bd6e4b,D03,BARC,BARC.AOS.buoy.c0,2015-06-24T16:00Z,BARC.c0.20150624,2,31.3,58.1,5.6,76,,20211222T041812Z,RELEASE-2022
93413c70-d127-411a-b850-96266c9377da,D03,BARC,BARC.AOS.buoy.c0,2015-06-24T16:00Z,BARC.c0.20150624,3,31.3,58.3,5.5,74,,20211222T041812Z,RELEASE-2022
