OrganizationFormalName,MonitoringLocationIdentifier,sampledate,lagos_sampledepth,"Nitrogen, NH4","Nitrogen, dissolved Kjeldahl","Nitrogen, total","Nitrogen, total Kjeldahl","Arsenic, dissolved","Arsenic, total","Phosphorus, soluble reactive orthophosphate","Phosphorus, total","Nitrogen, nitrite (NO2) + nitrate (NO3)","Carbon, dissolved organic","Carbon, total organic","Nitrogen, total dissolved","Selenium, dissolved","Selenium, total","Aluminum, dissolved","Aluminum, total","Mercury, total dissolved","Mercury, total"
USGS Washington Water Science Center,USGS-14237800,1979-09-11,0.3048,NA,NA,NA,NA,NA,NA,40,9.784199999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14237800,1979-09-11,6.096,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14237800,1979-09-11,15.24,NA,NA,NA,NA,NA,NA,9.784199999999998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-14237800,1979-09-11,30.48,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12057000,1979-09-13,0.3048,NA,NA,NA,NA,NA,NA,9.784199999999998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12057000,1979-09-13,6.096,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12057000,1979-09-13,15.24,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12057000,1979-09-13,56.388000000000005,NA,NA,NA,NA,NA,NA,9.784199999999998,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12058600,1979-09-13,0.3048,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS Washington Water Science Center,USGS-12058600,1979-09-13,6.096,NA,NA,NA,NA,NA,NA,29.3526,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
