combined_name,depths,no_depths,proport_depth,depth_75,sd_depth
USGS New Mexico Water Science Center U.S. Geological Survey-Water Resources Discipline,1584,622,28.2,22.9,10.95
"USGS New York Water Science Center Adirondack Lakes Survey Corporation, Ray Brook, NY",0,1524,100,NA,NA
USGS New York Water Science Center NA,37449,153,0.41,0.5,0.83
"USGS New York Water Science Center New York Dept. of Environmental Conservation, Albany, NY",1,142,99.3,0.3,NA
USGS New York Water Science Center U.S. Geological Survey,0,282,100,NA,NA
USGS New York Water Science Center U.S. Geological Survey-Water Resources Discipline,3661,2165,37.16,1.6,9.27
USGS New York Water Science Center USGS - New York Water Science Center,192,22,10.28,1.2,0.88
USGS North Carolina Water Science Center U.S. Geological Survey-Water Resources Discipline,33857,3147,8.5,2.2,3.36
USGS North Dakota Water Science Center NA,1959,127,6.09,1,2.12
USGS North Dakota Water Science Center North Dakota State Health Department,1309,52,3.82,7,3.46
USGS North Dakota Water Science Center North Dakota State Water Commission,0,61,100,NA,NA
USGS North Dakota Water Science Center Organization other than U.S. Geological Survey,43,59,57.84,1,0.51
USGS North Dakota Water Science Center U.S. Bureau of Reclamation,0,10,100,NA,NA
USGS North Dakota Water Science Center U.S. Geological Survey-Water Resources Discipline,62050,5270,7.83,5,6.15
"USGS North Dakota Water Science Center USGS-National Water Quality Lab, Denver, CO",183,58,24.07,1,1.82
"USGS Ohio Water Science Center Clark County Combined Health District, Ohio",0,297,100,NA,NA
"USGS Ohio Water Science Center Clermont Co. Soil & Water Conservation District, Ohio",19,147,88.55,0,0
"USGS Ohio Water Science Center Muskingum Watershed Conservancy District, Ohio",798,1060,57.05,0,0
USGS Ohio Water Science Center NA,2522,55,2.13,6.1,4.28
USGS Ohio Water Science Center U.S. Geological Survey,605,280,31.64,0.3,0.42
USGS Ohio Water Science Center U.S. Geological Survey-Water Resources Discipline,2190,154,6.57,4.6,4.66
USGS Ohio Water Science Center USGS - Minnesota Water Science Center,0,2,100,NA,NA
USGS Ohio Water Science Center USGS - Ohio Water Science Center,1,810,99.88,0,NA
"USGS Ohio Water Science Center USGS-District Water-Quality Lab, Columbus, Ohio",36,260,87.84,0,0
"USGS Ohio Water Science Center USGS-Ohio Water Microbiology Laboratory, Columbus,OH (OWML)",157,8,4.85,0.6,0.2
USGS Oklahoma Water Science Center Ariz. Dept. of Environmental Quality,0,4,100,NA,NA
USGS Oklahoma Water Science Center NA,2477,589,19.21,3,3.53
"USGS Oklahoma Water Science Center Oklahoma Conservation Commission, Oklahoma City, OK",3303,1822,35.55,1.8,3.73
USGS Oklahoma Water Science Center Organization other than U.S. Geological Survey,0,20,100,NA,NA
USGS Oklahoma Water Science Center Other:Not valid for new data entry,0,4,100,NA,NA
USGS Oklahoma Water Science Center U.S. Corps of Engineers,0,73,100,NA,NA
USGS Oklahoma Water Science Center U.S. Geological Survey-Water Resources Discipline,9352,740,7.33,4.9,4.25
"USGS Oklahoma Water Science Center USGS-District Water-Quality Lab, Oklahoma City, Oklahoma",0,32,100,NA,NA
"USGS Oklahoma Water Science Center USGS-National Water Quality Lab, Denver, CO",364,278,43.3,9.1,5.45
USGS Oregon Water Science Center NA,1114,336,23.17,4.6,5.54
USGS Oregon Water Science Center U.S. Bureau of Reclamation,550,10,1.79,0.1,1.1
USGS Oregon Water Science Center U.S. Corps of Engineers,0,10,100,NA,NA
USGS Oregon Water Science Center U.S. Geological Survey,0,12,100,NA,NA
USGS Oregon Water Science Center U.S. Geological Survey-Water Resources Discipline,15722,4880,23.69,3.3,4.21
"USGS Oregon Water Science Center USGS-National Water Quality Lab, Denver, CO",51,52,50.49,0.5,0.21
USGS Pennsylvania Water Science Center NA,160,413,72.08,22,12.04
USGS Pennsylvania Water Science Center U.S. Geological Survey-Water Resources Discipline,1809,446,19.78,5,6.67
"USGS Pennsylvania Water Science Center USGS-Atlanta Central Laboratory, GA",10,9,47.37,30.5,15.43
USGS South Carolina Water Science Center NA,383,5,1.29,4,2.17
USGS South Carolina Water Science Center U.S. Geological Survey,116,1,0.85,6,2.28
USGS South Carolina Water Science Center U.S. Geological Survey-Water Resources Discipline,1293,492,27.56,6,2.48
USGS South Dakota Water Science Center NA,63,102,61.82,7.6,289.94
USGS South Dakota Water Science Center South Dakota Department of Health,2,20,90.91,0,0
USGS South Dakota Water Science Center U.S. Corps of Engineers,226,13,5.44,0,0.59
USGS South Dakota Water Science Center U.S. Geological Survey,0,71,100,NA,NA
USGS South Dakota Water Science Center U.S. Geological Survey-Water Resources Discipline,5204,3247,38.42,2.6,1.85
