State,CharacteristicName,n
KY,"Phosphorus, total dissolved",45
KY,Potassium,1084
KY,Salinity,NA
KY,Secchi,1165
KY,"Selenium, dissolved",70
KY,"Selenium, total",217
KY,"Silica, dissolved",NA
KY,Sodium,1083
KY,"Solids, total suspended",2171
KY,"Sulfate, dissolved",NA
KY,Turbidity,1503
LA,Alkalinity,4351
LA,"Aluminum, dissolved",15
LA,"Aluminum, total",NA
LA,ANC,NA
LA,"Arsenic, dissolved",1051
LA,"Arsenic, total",2368
LA,"Atrazine, dissolved",217
LA,"Calcium, dissolved",1943
LA,"Carbon, dissolved organic",224
LA,"Carbon, total inorganic",NA
LA,"Carbon, total organic",1956
LA,"Chloride, dissolved",1698
LA,Chlorophyll a,1353
LA,"Color, apparent",9
LA,"Color, true",2422
LA,Conductivity,9087
LA,Depth,329
LA,E. coli,NA
LA,E. coli-CFU,NA
LA,E. coli-MPN,37
LA,"Magnesium, dissolved",1942
LA,"Mercury, dissolved",217
LA,"Mercury, total",1468
LA,"Methylmercury, dissolved",NA
LA,Microcystin,33
LA,"Nitrogen, NH4",697
LA,"Nitrogen, nitrite (NO2)",314
LA,"Nitrogen, nitrite (NO2) + nitrate (NO3)",519
LA,"Nitrogen, total",287
LA,"Nitrogen, total dissolved",125
LA,"Nitrogen, total dissolved Kjeldahl",1359
LA,"Nitrogen, total Kjeldahl",2671
LA,"Oxygen, dissolved",7480
LA,"pH, equilibrated",8471
LA,"Phosphorus, soluable reactive orthophosphate",1460
LA,"Phosphorus, total",4644
LA,"Phosphorus, total dissolved",NA
LA,Potassium,1710
LA,Salinity,3584
LA,Secchi,505
LA,"Selenium, dissolved",165
LA,"Selenium, total",170
LA,"Silica, dissolved",1123
LA,Sodium,1926
LA,"Solids, total suspended",3760
LA,"Sulfate, dissolved",1678
LA,Turbidity,2653
MA,Alkalinity,230
MA,"Aluminum, dissolved",21
MA,"Aluminum, total",NA
MA,ANC,NA
MA,"Arsenic, dissolved",2
MA,"Arsenic, total",NA
MA,"Atrazine, dissolved",NA
MA,"Calcium, dissolved",219
MA,"Carbon, dissolved organic",139
MA,"Carbon, total inorganic",NA
MA,"Carbon, total organic",121
MA,"Chloride, dissolved",288
MA,Chlorophyll a,242
MA,"Color, apparent",56
MA,"Color, true",130
MA,Conductivity,2901
MA,Depth,NA
MA,E. coli,NA
MA,E. coli-CFU,32
MA,E. coli-MPN,6
MA,"Magnesium, dissolved",218
MA,"Mercury, dissolved",11
MA,"Mercury, total",57
MA,"Methylmercury, dissolved",11
MA,Microcystin,NA
MA,"Nitrogen, NH4",91
MA,"Nitrogen, nitrite (NO2)",31
MA,"Nitrogen, nitrite (NO2) + nitrate (NO3)",168
MA,"Nitrogen, total",7
MA,"Nitrogen, total dissolved",13
MA,"Nitrogen, total dissolved Kjeldahl",73
MA,"Nitrogen, total Kjeldahl",271
MA,"Oxygen, dissolved",2465
MA,"pH, equilibrated",2755
MA,"Phosphorus, soluable reactive orthophosphate",78
MA,"Phosphorus, total",125
MA,"Phosphorus, total dissolved",NA
MA,Potassium,287
MA,Salinity,NA
MA,Secchi,633
MA,"Selenium, dissolved",1
MA,"Selenium, total",NA
MA,"Silica, dissolved",125
MA,Sodium,286
MA,"Solids, total suspended",NA
MA,"Sulfate, dissolved",287
MA,Turbidity,114
MD,Alkalinity,5
MD,"Aluminum, dissolved",NA
MD,"Aluminum, total",NA
MD,ANC,NA
MD,"Arsenic, dissolved",NA
MD,"Arsenic, total",NA
MD,"Atrazine, dissolved",3
MD,"Calcium, dissolved",4
MD,"Carbon, dissolved organic",4
MD,"Carbon, total inorganic",NA
MD,"Carbon, total organic",1
MD,"Chloride, dissolved",354
MD,Chlorophyll a,725
MD,"Color, apparent",NA
MD,"Color, true",NA
MD,Conductivity,9400
MD,Depth,10
MD,E. coli,NA
MD,E. coli-CFU,NA
MD,E. coli-MPN,108
MD,"Magnesium, dissolved",4
MD,"Mercury, dissolved",NA
MD,"Mercury, total",NA
MD,"Methylmercury, dissolved",NA
MD,Microcystin,NA
MD,"Nitrogen, NH4",1833
MD,"Nitrogen, nitrite (NO2)",855
MD,"Nitrogen, nitrite (NO2) + nitrate (NO3)",2975
MD,"Nitrogen, total",5
MD,"Nitrogen, total dissolved",NA
MD,"Nitrogen, total dissolved Kjeldahl",NA
MD,"Nitrogen, total Kjeldahl",5
MD,"Oxygen, dissolved",9405
MD,"pH, equilibrated",9406
MD,"Phosphorus, soluable reactive orthophosphate",3453
MD,"Phosphorus, total",944
MD,"Phosphorus, total dissolved",71
MD,Potassium,4
MD,Salinity,8735
MD,Secchi,842
MD,"Selenium, dissolved",NA
MD,"Selenium, total",1
MD,"Silica, dissolved",4
MD,Sodium,4
MD,"Solids, total suspended",NA
MD,"Sulfate, dissolved",173
MD,Turbidity,5837
ME,Alkalinity,422
ME,"Aluminum, dissolved",NA
ME,"Aluminum, total",NA
ME,ANC,NA
ME,"Arsenic, dissolved",NA
ME,"Arsenic, total",NA
ME,"Atrazine, dissolved",NA
ME,"Calcium, dissolved",NA
ME,"Carbon, dissolved organic",NA
ME,"Carbon, total inorganic",NA
ME,"Carbon, total organic",NA
ME,"Chloride, dissolved",315
ME,Chlorophyll a,930
ME,"Color, apparent",NA
ME,"Color, true",415
ME,Conductivity,743
ME,Depth,NA
ME,E. coli,NA
ME,E. coli-CFU,NA
ME,E. coli-MPN,NA
ME,"Magnesium, dissolved",NA
ME,"Mercury, dissolved",NA
ME,"Mercury, total",NA
ME,"Methylmercury, dissolved",NA
ME,Microcystin,NA
ME,"Nitrogen, NH4",NA
ME,"Nitrogen, nitrite (NO2)",NA
ME,"Nitrogen, nitrite (NO2) + nitrate (NO3)",NA
ME,"Nitrogen, total",430
ME,"Nitrogen, total dissolved",NA
ME,"Nitrogen, total dissolved Kjeldahl",NA
ME,"Nitrogen, total Kjeldahl",431
ME,"Oxygen, dissolved",513
ME,"pH, equilibrated",444
ME,"Phosphorus, soluable reactive orthophosphate",NA
ME,"Phosphorus, total",1489
ME,"Phosphorus, total dissolved",NA
ME,Potassium,NA
ME,Salinity,NA
ME,Secchi,2276
ME,"Selenium, dissolved",NA
ME,"Selenium, total",NA
ME,"Silica, dissolved",318
ME,Sodium,NA
ME,"Solids, total suspended",85
ME,"Sulfate, dissolved",317
ME,Turbidity,79
MI,Alkalinity,NA
MI,"Aluminum, dissolved",NA
MI,"Aluminum, total",NA
MI,ANC,NA
MI,"Arsenic, dissolved",NA
MI,"Arsenic, total",NA
MI,"Atrazine, dissolved",NA
MI,"Calcium, dissolved",NA
MI,"Carbon, dissolved organic",NA
MI,"Carbon, total inorganic",NA
MI,"Carbon, total organic",NA
MI,"Chloride, dissolved",NA
MI,Chlorophyll a,NA
MI,"Color, apparent",NA
MI,"Color, true",NA
MI,Conductivity,2
MI,Depth,NA
MI,E. coli,NA
MI,E. coli-CFU,NA
MI,E. coli-MPN,NA
